epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5760416388511658,9.999999747378752e-05,0.9486607909202576,0.9263888597488403,0.30959218740463257
1,0.8772569298744202,9.999999747378752e-05,0.34720107913017273,0.9770833253860474,0.1477469950914383
2,0.9381944537162781,9.999999747378752e-05,0.20586803555488586,0.9798611402511597,0.10034413635730743
3,0.9572916626930237,9.999999747378752e-05,0.14448629319667816,0.981249988079071,0.08004181832075119
4,0.9673610925674438,9.999999747378752e-05,0.11746741086244583,0.981249988079071,0.06617455184459686
5,0.9708333611488342,9.999999747378752e-05,0.09584446996450424,0.9861111044883728,0.0548090785741806
6,0.9800347089767456,9.999999747378752e-05,0.07688010483980179,0.9847221970558167,0.05121566355228424
7,0.9815972447395325,9.999999747378752e-05,0.06781589984893799,0.9854166507720947,0.04696319252252579
8,0.9802083373069763,9.999999747378752e-05,0.06468924134969711,0.9895833134651184,0.04021855443716049
9,0.9840278029441833,9.999999747378752e-05,0.057304009795188904,0.9895833134651184,0.03873290866613388
