epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6376736164093018,9.999999747378752e-05,0.8199352622032166,0.9104166626930237,0.3027520179748535
1,0.8895833492279053,9.999999747378752e-05,0.3178046643733978,0.9638888835906982,0.15881644189357758
2,0.9395833611488342,9.999999747378752e-05,0.19407865405082703,0.9791666865348816,0.10675327479839325
3,0.9527778029441833,9.999999747378752e-05,0.1468283236026764,0.9861111044883728,0.07925471663475037
4,0.9677083492279053,9.999999747378752e-05,0.1102752685546875,0.9888888597488403,0.06730903685092926
5,0.9746527671813965,9.999999747378752e-05,0.09307043254375458,0.9888888597488403,0.05232912302017212
6,0.9776041507720947,9.999999747378752e-05,0.0798737183213234,0.9909722208976746,0.04192040115594864
7,0.9836805462837219,9.999999747378752e-05,0.06582426279783249,0.9902777671813965,0.04072802886366844
8,0.9817708134651184,9.999999747378752e-05,0.06351209431886673,0.9916666746139526,0.03600955754518509
9,0.9831597208976746,9.999999747378752e-05,0.05584397912025452,0.9916666746139526,0.03351664915680885
