epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5956597328186035,9.999999747378752e-05,0.9163417220115662,0.9472222328186035,0.29601019620895386
1,0.8812500238418579,9.999999747378752e-05,0.33157968521118164,0.9833333492279053,0.1384875476360321
2,0.9380208253860474,9.999999747378752e-05,0.1946474015712738,0.987500011920929,0.0911022275686264
3,0.9604166746139526,9.999999747378752e-05,0.13757270574569702,0.9916666746139526,0.06440499424934387
4,0.9692708253860474,9.999999747378752e-05,0.10835058242082596,0.9902777671813965,0.05689084902405739
5,0.9755208492279053,9.999999747378752e-05,0.09037106484174728,0.9930555820465088,0.04473163187503815
6,0.9767361283302307,9.999999747378752e-05,0.07828598469495773,0.9923611283302307,0.040246203541755676
7,0.9770833253860474,9.999999747378752e-05,0.07005994021892548,0.9930555820465088,0.035103939473629
8,0.9815972447395325,9.999999747378752e-05,0.06254257261753082,0.9951388835906982,0.02952760085463524
9,0.9871527552604675,9.999999747378752e-05,0.05126676708459854,0.9937499761581421,0.030718635767698288
