,precision,recall,f1-score,support
Bukan Jagung,0.9956521739130435,0.9956521739130435,0.9956521739130435,230.0
Hawar,0.9912663755458515,0.9869565217391304,0.9891067538126361,230.0
Karat,0.991304347826087,0.991304347826087,0.991304347826087,230.0
Sehat,0.9956709956709957,1.0,0.9978308026030369,230.0
accuracy,0.9934782608695653,0.9934782608695653,0.9934782608695653,0.9934782608695653
macro avg,0.9934734732389945,0.9934782608695653,0.9934735195387009,920.0
weighted avg,0.9934734732389945,0.9934782608695653,0.9934735195387009,920.0
